"Plate Number Nat","Obuid","Plate","Tbaid","Activation sent (GMT +0)","Guid"
"IT","000490000008888","DM663FP","0781965710","13/07/2017 14:37:22","14999566423906764358247254177374877389"
"IT","000490000072817","FE189LW","0781965827","13/07/2017 14:44:10","14999570508937236925596081785593512133"
"IT","000490000074593","DJ940AG","0781965769","13/07/2017 14:54:38","14999576780934067114269597824630696651"
"IT","000490000072863","DS318HP","0781965835","13/07/2017 15:16:06","14999589665216132108606650757686767219"
"IT","000490000072601","EM001WV","0781965728","13/07/2017 15:44:09","14999606493143554086927724255453824243"
"IT","000490000081538","EK713VX","0781965736","13/07/2017 16:19:25","14999627659875667224891302908973261451"
"IT","000490000072848","EZ966RS","0781965702","13/07/2017 16:32:06","14999635263079111330408356601801834815"
"IT","000490000074550","FB879XB","0781965686","13/07/2017 16:43:38","14999642181614586324921230783802645033"
"IT","000490000072829","CH999MP","0781965744","13/07/2017 16:50:26","14999646262963577488301211027430087121"
"IT","000490000072821","ED393ZZ","0781966056","14/07/2017 14:18:07","15000418875795870689550514562331567649"
"IT","000490000085725","ES197HD","0781967724","14/07/2017 14:34:17","15000428578286418200414734281385997613"
"IT","000490000072819","EP264HB","0781965694","14/07/2017 15:06:40","15000448010060676876569879105882148265"
"IT","000490000074654","DZ164HF","0781965801","14/07/2017 15:20:24","15000456240857679209121757293858461972"
"IT","000490000056727","EH883AK","0781967047","15/07/2017 07:10:40","15001026404690064045449817802063294404"
"IT","000490000088535","BC427KT","0781967062","15/07/2017 08:02:37","15001057574174728203377397800736779595"
"IT","000490000074623","ES196HD","0781965868","20/07/2017 11:25:39","15005499401407219908422862388510493759"
"IT","000490000074279","DT856YT","0781965850","20/07/2017 11:44:16","15005510565684243171645400996394739772"
"IT","000490000076328","EZ077JM","0781965819","20/07/2017 14:45:06","15005619068466173015739158381789092972"
"IT","000490000071814","FD813TD","0781965751","20/07/2017 16:01:48","15005665083680457232944583044915936450"
"IT","000490000071867","DS015HP","0781965785","20/07/2017 16:20:03","15005676032047539379661122242021457728"
"IT","000490000074507","ES371HD","0781965777","20/07/2017 16:49:38","15005693784453142059876919798712446180"
"IT","000490000054622","FG962YJ","0781966064","21/07/2017 15:08:44","15006497243334131118027534305497688172"
"IT","000490000079376","DR553FB","0781966031","21/07/2017 15:30:06","15006510064813035572407267590181445212"
"IT","000490000056400","DH741MV","0781967831","11/08/2017 13:14:42","15024572832045019645415841774663272489"
"IT","000490000051843","CR728AH","0781967773","11/08/2017 13:34:19","15024584595068680417311309944259530222"
"IT","000490000051799","BG860PB","0781967807","11/08/2017 13:51:15","15024594757036359206670932639132215729"
"IT","000490000063655","CR368AH","0781967708","11/08/2017 14:19:36","15024611770393616014573363334619793380"
"IT","000490000063431","BC699ND","0781967682","11/08/2017 15:58:45","15024671256475819993606576367113965823"
"IT","000490000062980","DA055NZ","0781967781","11/08/2017 16:15:38","15024681381313899777016585304269729338"
"IT","000490000055405","BM302EV","0781967815","11/08/2017 16:35:18","15024693189364234399923392910949836375"
"IT","000490000053989","DL309SN","0781967856","01/09/2017 12:17:00","15042682205741239647519972926187663808"
"IT","000490000063610","EB446RC","0781967732","01/09/2017 12:37:41","15042694618999731409284764082868861265"
